"Akunnaaq","QCU","Heliport","Greenland"
,,,
"Akure","AKR","Akure","Nigeria"
,,,
"Akureyri","AEY","Akureyri","Iceland"
,,,
"Akutan","KQA","Akutan","United States"
,,,
"Al","XXR","Al Railway","Norway"
,,,
"Al Ain","AAN","Al Ain","United Arab Emirates"
,,,
"Al Arish","AAC","Al Arish","Egypt"
,,,
"Al Ghaydah","AAY","Al Ghaydah","Yemen"
,,,
"Al Hoceima","AHU","Charif Al Idrissi","Morocco"
,,,
"City name","Airport Code",,"Country name"
,,,
"Al Kharj","AKH","Prince Sultan Air Base","Saudi Arabia"
,,,
"Al Koude","WWG","Al Koude","Oman"
,,,
"Al Thaurah","SOR","Al Thaurah","Syria"
,,,
"Al Udeid","XJD","Al Udeid","Qatar"
,,,
"Alah","AAV","Alah","Philippines"
,,,
"Alahsa","HOF","Alahsa","Saudi Arabia"
,,,
"Alakanuk","AUK","Alakanuk","United States"
,,,
"Alameda","NGZ","NAS","United States"
,,,
"Alamogordo","HMN","Holloman AFB","United States"
,,,
"Alamogordo","ALM","Municipal","United States"
,,,
"Alamos","XAL","Alamos","Mexico"
,,,
"Alamosa","ALS","Municipal","United States"
,,,
"Albacete","ABC","Los Llanos","Spain"
,,,
"Al-Baha","ABT","Al-Aqiq","Saudi Arabia"
,,,
"Albany","NAB","Albany NAS","United States"
,,,
"Albany","ABY","Dougherty County","United States"
,,,
"City name","Airport Code",,"Country name"
,,,
"Albany","ALB","Albany International","United States"
,,,
"Albany","ZLY","Albany NY Rail","United States"
,,,
"Albany","CVO","Albany","United States"
,,,
"Albany","ALH","Albany","Australia"
,,,
"Albenga","ALL","Albenga","Italy"
,,,
"Albert Lea","AEL","Albert Lea","United States"
,,,
"Albi","LBI","Le Sequestre","France"
,,,
"Albina","ABN","Albina","Suriname"
,,,
"Albuq","BUK","Albuq","Yemen"
,,,
"Albuquerque","ABQ","Albuquerque International","United States"
,,,
"Albury","ABX","Albury","Australia"
,,,
"Alconbury","AYH","RAF Station","United Kingdom"
,,,
"Aldan","ADH","Aldan","Russian Federation"
,,,
"Alderney","ACI","The Blaye","United Kingdom"
,,,
"Aleg","LEG","Aleg","Mauritania"
,,,
"Alegrete","ALQ","Federal","Brazil"
,,,
"City name","Airport Code",,"Country name"
,,,
"Aleknagik","WKK","Aleknagik","United States"
,,,
"Aleneva","AED","Aleneva","United States"
,,,
"Alenquer","ALT","Alenquer","Brazil"
,,,
"Aleppo","ALP","Nejrab","Syria"
,,,
"Alert","YLT","Alert","Canada"
,,,
"Alert Bay","YAL","Alert Bay","Canada"
,,,
"Alerta","ALD","Alerta","Peru"
,,,
"Alexander Bay","ALJ","Kortdoorn","South Africa"
,,,
"Alexander City","ALX","Thomas C Russell Fld","United States"
,,,
"Alexandra","ALR","Alexandra","New Zealand (Aotearoa)"
,,,
"Alexandria","HBE","Borg El Arab","Egypt"
,,,
"Alexandria","ALY","El Nohza","Egypt"
,,,
"Alexandria","AEX","Alexandria Internation","United States"
,,,
"Alexandria","ESF","Esler Field","United States"
,,,
"Alexandria","AXN","Alexandria","United States"
,,,
"Alexandria","AXL","Alexandria","Australia"
,,,
"City name","Airport Code",,"Country name"
,,,
"Alexandria Bay","AXB","Alexandria Bay","United States"
,,,
"Alexandroupolis","AXD","Demokritos Airport","Greece"
,,,
"Al-Fujairah","FJR","Fujairah Intl Arpt","United Arab Emirates"
,,,
"Algeciras","AEI","Algeciras","Spain"
,,,
"Alghero","AHO","Fertilia","Italy"
,,,
"Algiers","ALG","Houari Boumediene","Algeria"
,,,
"Algona","AXG","Algona","United States"
,,,
"Alicante","ALC","Alicante","Spain"
,,,
"Alice","ALI","International","United States"
,,,
"Alice Arm","ZAA","Alice Arm","Canada"
,,,
"Alice Springs","ASP","Alice Springs","Australia"
,,,
"Alice Springs","XHW","Alice Springs Railway","Australia"
,,,
"Aliceville","AIV","George Downer","United States"
,,,
"Alisabieh","AII","Alisabieh","Djibouti"
,,,
"Alitak","ALZ","Alitak SPB","United States"
,,,
"Aljouf","AJO","Aljouf","Yemen"
,,,
"City name","Airport Code",,"Country name"
,,,
"Allahabad","IXD","Bamrauli","India"
,,,
"Allakaket","AET","Allakaket","United States"
,,,
"Alldays","ADY","Alldays","South Africa"
,,,
"Alliance","AIA","Alliance","United States"
,,,
"Alluitsup Paa","LLU","Alluitsup Paa","Greenland"
,,,
"Alma","AMN","Gratiot Community","United States"
,,,
"Alma","YTF","Alma","Canada"
,,,
"Almaty","ALA","Almaty","Kazakhstan"
,,,
"Almenara","AMJ","Almenara","Brazil"
,,,
"Almeria","LEI","Almeria","Spain"
,,,
"Along","IXV","Along","India"
,,,
"Alor Island","ARD","Alor Island","Indonesia"
,,,
"Alor Setar","AOR","Alor Setar","Malaysia"
,,,
"Alotau","GUR","Gurney","Papua New Guinea"
,,,
"Alowe","AWE","Alowe","Gabon"
,,,
"Alpe D Huez","AHZ","Alpe D Huez","France"
,,,
"City name","Airport Code",,"Country name"
,,,
"Alpena","APN","Alpena County Regional","United States"
,,,
"Alpha","ABH","Alpha","Australia"
,,,
"Alpine","ALE","Alpine","United States"
,,,
"Alroy Downs","AYD","Alroy Downs","Australia"
,,,
"Alta","ALF","Alta","Norway"
,,,
"Alta Floresta","AFL","Alta Floresta","Brazil"
,,,
"Alta Lake","YAE","Alta Lake","Canada"
,,,
"Altai","LTI","Altai","Mongolia"
,,,
"Altamira","ATM","Altamira","Brazil"
,,,
"Altay","AAT","Altay","China"
,,,
"Altenburg","AOC","Altenburg Nobitz","Germany"
,,,
"Altenrhein","ACH","Altenrhein","Switzerland"
,,,
"Alto Molocue","AME","Alto Molocue","Mozambique"
,,,
"Alto Palena","WAP","Alto Palena","Chile"
,,,
"Alto Parnaiba","APY","Alto Parnaiba","Brazil"
,,,
"Alto Rio Senguerr","ARR","Alto Rio Senguerr","Argentina"
,,,
"City name","Airport Code",,"Country name"
,,,
"Alton","ALN","Alton","United States"
,,,
"Alton Downs","AWN","Alton Downs","Australia"
,,,
"Altus","LTS","Altus AFB","United States"
,,,
"Altus","AXS","Municipal","United States"
,,,
"Alula","ALU","Alula","Somalia"
,,,
"Alvdal","XJA","Railway","Norway"
,,,
"Alvesta","XXA","Alvesta","Sweden"
,,,
"Alyeska","AQY","Alyeska","United States"
,,,
"Am Timan","AMC","Am Timan","Guam"
,,,
"Ama","AMF","Ama","Papua New Guinea"
,,,
"Amahai","AHI","Amahai","Indonesia"
,,,
"Amalfi","AFI","Amalfi","Colombia"
,,,
"Amami O Shima","ASJ","Amami O Shima","Japan"
,,,
"Amanab","AMU","Amanab","Papua New Guinea"
,,,
"Amarillo","AMA","International","United States"
,,,
"Amarillo","TDW","Tradewind","United States"
,,,
"City name","Airport Code",,"Country name"
,,,
"Amata","AMT","Amata","Australia"
,,,
"Amazon Bay","AZB","Amazon Bay","Papua New Guinea"
,,,
"Ambanja","IVA","Ambanja","Madagascar"
,,,
"Ambato","ATF","Chachoan","Ecuador"
,,,
"Ambatolahy","AHY","Ambatolahy","Madagascar"
,,,
"Ambatomainty","AMY","Ambatomainty","Madagascar"
,,,
"Ambatondrazaka","WAM","Ambatondrazaka","Madagascar"
,,,
"Ambilobe","AMB","Ambilobe","Madagascar"
,,,
"Ambler","ABL","Ambler","United States"
,,,
"Amboin","AMG","Amboin","Papua New Guinea"
,,,
"Ambon","AMQ","Pattimura","Indonesia"
,,,
"Amboseli","ASV","Amboseli","Kenya"
,,,
"Ambriz","AZZ","Ambriz","Angola"
,,,
"Ambunti","AUJ","Ambunti","Papua New Guinea"
,,,
"Amchitka","AHT","Amchitka","United States"
,,,
"Amderma","AMV","Amderma","Russian Federation"
,,,
"City name","Airport Code",,"Country name"
,,,
"American River","RCN","American River","Australia"
,,,
"Amery","AHH","Municipal","United States"
,,,
"Ames","AMW","Ames","United States"
,,,
"Amityville","AYZ","Zahns","United States"
,,,
"Amman","ADJ","Civil - Marka Airport","Jordan"
,,,
"Amman","AMM","Queen Alia Intl","Jordan"
,,,
"Ammaroo","AMX","Ammaroo","Australia"
,,,
"Amook","AOS","Amook","United States"
,,,
"Amos","YEY","Amos","Canada"
,,,
"Ampanihy","AMP","Ampanihy","Madagascar"
,,,
"Ampara","ADP","Ampara","Sri Lanka"
,,,
"Ampara","AFK","Kondavattavan Tank","Sri Lanka"
,,,
"Amritsar","ATQ","Raja Sansi","India"
,,,
"Haarlemmermeer","AMS","Amsterdam-Schiphol","The Netherlands"
,,,
"An Shun","AVA","An Shun/Huang Guo Shu","China"
,,,
"Anaa","AAA","Anaa","French Polynesia"
,,,
"City name","Airport Code",,"Country name"
,,,
"Anaco","AAO","Anaco","Venezuela"
,,,
"Anacortes","OTS","Anacortes","United States"
,,,
"Anacostia","NDV","USN Heliport","United States"
,,,
"Anadyr","DYR","Anadyr","Russian Federation"
,,,
"Anaheim","ANA","Anaheim","United States"
,,,
"Anahim Lake","YAA","Anahim Lake","Canada"
,,,
"Anaktuvuk","AKP","Anaktuvuk","United States"
,,,
"Analalava","HVA","Analalava","Madagascar"
,,,
"Anapa","AAQ","Anapa","Russian Federation"
,,,
"Anapolis","APS","Anapolis","Brazil"
,,,
"Anchorage","EDF","Elmendorf AFB","United States"
,,,
"Anchorage","ANC","Ted Stevens Anchorage Int'l","United States"
,,,
"Anchorage","MRI","Merrill Field","United States"
,,,
"Ancona","AOI","Falconara","Italy"
,,,
"Ancud","ZUD","Ancud","Chile"
,,,
"Andahuaylas","ANS","Andahuaylas","Peru"
,,,
"City name","Airport Code",,"Country name"
,,,
"Andakombe","ADC","Andakombe","Papua New Guinea"
,,,
"Andamooka","ADO","Andamooka","Australia"
,,,
"Andapa","ZWA","Andapa","Madagascar"
,,,
"Andenes","ANX","Andenes","Norway"
,,,
"Anderson","AID","Municipal","United States"
,,,
"Anderson","AND","Anderson","United States"
,,,
"Andes","ADN","Andes","Colombia"
,,,
"Andizhan","AZN","Andizhan","Uzbekistan"
,,,
"Andorra La Vella","ALV","Andorra La Vella H/P",
,,,
"Andover","ADV","Andover","United Kingdom"
,,,
"Andrews","ADR","Andrews","United States"
,,,
"Andriamena","WAD","Andriamena","Madagascar"
,,,
"Andros Town","ASD","Andros Town","Bahamas"
,,,
"Andulo","ANL","Andulo","Angola"
,,,
"Anegada","NGD","Anegada","Virgin Islands (British)"
,,,
"Aneityum","AUY","Aneityum","Vanuatu"
,,,
"City name","Airport Code",,"Country name"
,,,
"Angel Fire","AXX","Angel Fire","United States"
,,,
"Angelholm/Helsingborg","AGH","Angelholm","Sweden"
,,,
"Angelholm/Helsingborg","XYQ","Angelholm Railway Svc.","Sweden"
,,,
"Angelholm/Helsingborg","JHE","Heliport","Sweden"
,,,
"Angelholm/Helsingborg","XYH","Helsingborg Railway","Sweden"
,,,
"Angers","ANE","Marce","France"
,,,
"Anggi","AGD","Anggi","Indonesia"
,,,
"Angling Lake","YAX","Angling Lake","Canada"
,,,
"Angoche","ANO","Angoche","Mozambique"
,,,
"Angola","ANQ","Tri-State Steuben Cty","United States"
,,,
"Angoon","AGN","Angoon","United States"
,,,
"Angoram","AGG","Angoram","Papua New Guinea"
,,,
"Angouleme","ANG","Brie-Champniers","France"
,,,
"Anguganak","AKG","Anguganak","Papua New Guinea"
,,,
"Anguilla","AXA","Wallblake","Anguilla"
,,,
"Anguilla","RFK","Rollang Field","United States"
,,,
"City name","Airport Code",,"Country name"
,,,
"Angus Downs","ANZ","Angus Downs","Australia"
,,,
"Aniak","ANI","Aniak","United States"
,,,
"Anita Bay","AIB","Anita Bay","United States"
,,,
"Aniwa","AWD","Aniwa","Vanuatu"
,,,
"Anjouan","AJN","Ouani","Comoros"
,,,
"Ankang","AKA","Ankang","China"
,,,
"Ankara","ESB","Esenboga","Turkey"
,,,
"Ankara","ANK","Etimesgut","Turkey"
,,,
"Ankavandra","JVA","Ankavandra","Madagascar"
,,,
"Ankazoabo","WAK","Ankazoabo","Madagascar"
,,,
"Ankokoambo","NKO","Ankokoambo","Madagascar"
,,,
"Ankorefo","WOR","Moramba","Madagascar"
,,,
"Ann Arbor","ARB","Municipal","United States"
,,,
"Annaba","AAE","Les Salines","Algeria"
,,,
"Annai","NAI","Annai","Guyana"
,,,
"Annanberg","AOB","Annanberg","Papua New Guinea"
,,,
"City name","Airport Code",,"Country name"
,,,
"Annapolis","ANP","Lee","United States"
,,,
"Annecy","NCY","Annecy-Meythe","France"
,,,
"Annette Island","ANN","Annette Island","United States"
,,,
"Anniston","ANB","County Arpt","United States"
,,,
"Anniston","QAW","Ft Mcclellan Bus Trml","United States"
,,,
"Anniston","RLI","Reilly AHP","United States"
,,,
"Anqing","AQG","Anqing","China"
,,,
"Anshan","AOG","Anshan","China"
,,,
"Anta","ATA","Anta","Peru"
,,,
"Antalaha","ANM","Antsirabato","Madagascar"
,,,
"Antalya","AYT","Antalya","Turkey"
,,,
"Antananarivo","TNR","Antananarivo","Madagascar"
,,,
"Anthony","ANY","Anthony","United States"
,,,
"Anthony Lagoon","AYL","Anthony Lagoon","Australia"
,,,
"Antigua","ANU","V.C. Bird Intl","Antigua and Barbuda"
,,,
"Antique","EUQ","Evelio Javier","Philippines"
,,,
"City name","Airport Code",,"Country name"
,,,
"Antlers","ATE","Antlers","United States"
,,,
"Antofagasta","ANF","Cerro Moreno","Chile"
,,,
"Antsalova","WAQ","Antsalova","Madagascar"
,,,
"Antsirabe","ATJ","Antsirabe","Madagascar"
,,,
"Antsiranana","DIE","Antsiranana/Arrachart","Madagascar"
,,,
"Antsohihy","WAI","Antsohihy","Madagascar"
,,,
"Antwerp","ZYZ","Berchem Railway Stn.","Belgium"
,,,
"Antwerp","ZAY","De Keyserlei Bus Stn.","Belgium"
,,,
"Antwerp","ANR","Deurne","Belgium"
,,,
"Anuha Island Resort","ANH","Anuha Island Resort","Solomon Islands"
,,,
"Anuradhapura","ACJ","Anuradhapura","Sri Lanka"
,,,
"Anvik","ANV","Anvik","United States"
,,,
"Anyang","AYN","Anyang","China"
,,,
"Aomori","AOJ","Aomori","Japan"
,,,
"Aosta","AOT","Corrado Gex","Italy"
,,,
"Apalachicola","AAF","Municipal","United States"
,,,
"City name","Airport Code",,"Country name"
,,,
"Apalapsili","AAS","Apalapsili","Indonesia"
,,,
"Apartado","APO","Apartado","Colombia"
,,,
"Apataki","APK","Apataki","French Polynesia"
,,,
"Apatzingan","AZG","Apatzingan","Mexico"
,,,
"Apia","FGI","Fagali I","Samoa"
,,,
"Apia","APW","Faleolo","Samoa"
,,,
"Apiay","API","Apiay","Colombia"
,,,
"Apolo","APB","Apolo","Bolivia"
,,,
"Apple Valley","APV","Apple Valley","United States"
,,,
"Appleton","ATW","Outagamie County","United States"
,,,
"April River","APR","April River","Papua New Guinea"
,,,
"Apucarana","APU","Apucarana","Brazil"
,,,
"Aqaba","AQJ","King Hussein Intl","Jordan"
,,,
"Araak","AJK","Araak","Iran"
,,,
"Aracaju","AJU","Aracaju","Brazil"
,,,
"Aracatuba","ARU","Aracatuba","Brazil"
,,,
"City name","Airport Code",,"Country name"
,,,
"Arad","ARW","Arad","Romania"
,,,
"Aragarcas","ARS","Aragarcas","Brazil"
,,,
"Aragip","ARP","Aragip","Papua New Guinea"
,,,
"Araguaina","AUX","Araguaina","Brazil"
,,,
"Aramac","AXC","Aramac","Australia"
,,,
"Arandis","ADI","Arandis","Namibia"
,,,
"Aranuka","AAK","Aranuka","Kiribati"
,,,
"Arapahoe","AHF","Municipal","United States"
,,,
"Arapiraca","APQ","Arapiraca","Brazil"
,,,
"Arapongas","APX","Arapongas","Brazil"
,,,
"Arapoti","AAG","Arapoti","Brazil"
,,,
"Arar","RAE","Arar","Saudi Arabia"
,,,
"Araracuara","ACR","Araracuara","Colombia"
,,,
"Araraquara","AQA","Manaus","Brazil"
,,,
"Ararat","ARY","Ararat","Australia"
,,,
"Arauca","AUC","Arauca","Colombia"
,,,
"City name","Airport Code",,"Country name"
,,,
"Arauquita","ARQ","Arauquita","Colombia"
,,,
"Arawa","RAW","Arawa","Papua New Guinea"
,,,
"Araxa","AAX","Araxa","Brazil"
,,,
"Arba Mintch","AMH","Arba Mintch","Ethiopia"
,,,
"Arboletas","ARO","Arboletas","Colombia"
,,,
"Arcata","ACV","Arcata","United States"
,,,
"Arctic Bay","YAB","Arctic Bay","Canada"
,,,
"Arctic Village","ARC","Arctic Village","United States"
,,,
"Ardabil","ADU","Ardabil","Iran"
,,,
"Ardmore","AMZ","Ardmore","New Zealand (Aotearoa)"
,,,
"Ardmore","AHD","Downtown","United States"
,,,
"Ardmore","ADM","Ardmore Municipal Arpt","United States"
,,,
"Arecibo","ARE","Arecibo","Puerto Rico"
,,,
"Arequipa","AQP","Rodriguez Ballon","Peru"
,,,
"Argentia","NWP","NS","Canada"
,,,
"Argyle","GYL","Argyle","Australia"
,,,
"City name","Airport Code",,"Country name"
,,,
"Argyle Downs","AGY","Argyle Downs","Australia"
,,,
"Aribinda","XAR","Aribinda","Burkina Faso"
,,,
"Arica","ARI","Chacalluta","Chile"
,,,
"Arica","ACM","Arica","Colombia"
,,,
"Aripuana","AIR","Aripuana","Brazil"
,,,
"Ariquemes","AQM","Ariquemes","Brazil"
,,,
"Arkalyk","AYK","Arkalyk","Kazakhstan"
,,,
"Arkhangelsk","ARH","Arkhangelsk","Russian Federation"
,,,
"Arlington Heights","JLH","US Army Heliport","United States"
,,,
"Arlit","RLT","Arlit","Niger"
,,,
"Arly","ARL","Arly","Burkina Faso"
,,,
"Armenia","AXM","El Eden","Colombia"
,,,
"Armidale","ARM","Armidale","Australia"
,,,
"Armstrong","YYW","Armstrong","Canada"
,,,
"Arna","XHT","Railway","Norway"
,,,
"Arnes","YNR","Arnes","Canada"
,,,
"City name","Airport Code",,"Country name"
,,,
"Arno","AMR","Arno","Marshall Islands"
,,,
"Aroa","AOA","Aroa","Papua New Guinea"
,,,
"Arona","AON","Arona","Papua New Guinea"
,,,
"Arona","RNA","Ulawa Airport","Solomon Islands"
,,,
"Arorae Island","AIS","Arorae Island","Kiribati"
,,,
"Arrabury","AAB","Arrabury","Australia"
,,,
"Arraias","AAI","Arraias","Brazil"
,,,
"Arso","ARJ","Arso","Indonesia"
,,,
"Arsuk","JRK","Arsuk","Greenland"
,,,
"Artesia","ATS","Artesia","United States"
,,,
"Artigas","ATI","Artigas","Uruguay"
,,,
"Arua","RUA","Arua","Uganda"
,,,
"Aruba","AUA","Reina Beatrix","Aruba"
,,,
"Aruja","ZFU","Aruja","Brazil"
,,,
"Arusha","ARK","Arusha","Tanzania"
,,,
"Arutua","AXR","Arutua","French Polynesia"
,,,
"City name","Airport Code",,"Country name"
,,,
"Arvaikheer","AVK","Arvaikheer","Mongolia"
,,,
"Arviat","YEK","Arviat","Canada"
,,,
"Arvidsjaur","AJR","Arvidsjaur","Sweden"
,,,
"Asahikawa","AKJ","Asahikawa","Japan"
,,,
"Asaloyeh","YEH","Asaloyeh","Iran"
,,,
"Asapa","APP","Asapa","Papua New Guinea"
,,,
"Asau","AAU","Asau","Samoa"
,,,
"Asbestos Hill","YAF","Asbestos Hill","Canada"
,,,
"Neptune, NJ","ARX","Asbury Park","United States"
,,,
"Ascension","ASC","Ascension","Bolivia"
,,,
"Ascona","ACO","Ascona","Switzerland"
,,,
"Aseki","AEK","Aseki","Papua New Guinea"
,,,
"Asela","ALK","Asela","Ethiopia"
,,,
"Ashburton","ASG","Ashburton","New Zealand (Aotearoa)"
,,,
"Ashcroft","YZA","Ashcroft","Canada"
,,,
"Ashgabat","ASB","Ashgabat","Turkmenistan"
,,,
"City name","Airport Code",,"Country name"
,,,
"Ashland","ASX","Ashland","United States"
,,,
"Ashley","ASY","Ashley","United States"
,,,
"Asirim","ASZ","Asirim","Papua New Guinea"
,,,
"Asmara","ASM","Asmara International","Ethiopia"
,,,
"Asosa","ASO","Asosa","Ethiopia"
,,,
"Aspen","ASE","Aspen","United States"
,,,
"Assab","ASA","Assab","Ethiopia"
,,,
"Assis","AIF","Assis","Brazil"
,,,
"Assiut","ATZ","Assiut","Egypt"
,,,
"Astana","TSE","Astana","Kazakhstan"
,,,
"Astoria","AST","Astoria","United States"
,,,
"Astrakhan","ASF","Astrakhan","Russian Federation"
,,,
"Astraksetra","AKQ","Gunung Batin","Indonesia"
,,,
"Asturias","OVD","Asturias","Spain"
,,,
"Astypalaia Island","JTY","Astypalaia","Greece"
,,,
"Asuncion","ASU","Silvio Pettirossi","Paraguay"
,,,
"City name","Airport Code",,"Country name"
,,,
"Aswan","ASW","Aswan","Egypt"
,,,
"Atambua","ABU","Atambua","Indonesia"
,,,
"Ataq","AXK","Ataq","Yemen"
,,,
"Atar","ATR","Mouakchott","Mauritania"
,,,
"Atauro","AUT","Atauro","Indonesia"
